Subject,Start Date,All Day Event,Description
"Day 1: Genesis 1-3",01/01/2016,true,"READ: Genesis 1-3 PRAY: Psalms 1 WATCH: Genesis 1-11 http://bible.sograce.org/#/1/1"
"Day 2: Genesis 4-7",01/02/2016,true,"READ: Genesis 4-7 PRAY: Psalms 2 http://bible.sograce.org/#/2/1"
"Day 3: Genesis 8-11",01/03/2016,true,"READ: Genesis 8-11 PRAY: Psalms 3 http://bible.sograce.org/#/3/1"
"Day 4: Genesis 12-15",01/04/2016,true,"READ: Genesis 12-15 PRAY: Psalms 4 WATCH: Genesis 12-50 http://bible.sograce.org/#/4/1"
"Day 5: Genesis 16-18",01/05/2016,true,"READ: Genesis 16-18 PRAY: Psalms 5 http://bible.sograce.org/#/5/1"
"Day 6: Genesis 19-21",01/06/2016,true,"READ: Genesis 19-21 PRAY: Psalms 6 http://bible.sograce.org/#/6/1"
"Day 7: Genesis 22-24",01/07/2016,true,"READ: Genesis 22-24 PRAY: Psalms 7 http://bible.sograce.org/#/7/1"
"Day 8: Genesis 25-28",01/08/2016,true,"READ: Genesis 25-28 PRAY: Psalms 8 http://bible.sograce.org/#/8/1"
"Day 9: Genesis 29-31",01/09/2016,true,"READ: Genesis 29-31 PRAY: Psalms 9 http://bible.sograce.org/#/9/1"
"Day 10: Genesis 32-34",01/10/2016,true,"READ: Genesis 32-34 PRAY: Psalms 10 http://bible.sograce.org/#/10/1"
"Day 11: Genesis 35-37",01/11/2016,true,"READ: Genesis 35-37 PRAY: Psalms 11 http://bible.sograce.org/#/11/1"
"Day 12: Genesis 38-40",01/12/2016,true,"READ: Genesis 38-40 PRAY: Psalms 12 http://bible.sograce.org/#/12/1"
"Day 13: Genesis 41-42",01/13/2016,true,"READ: Genesis 41-42 PRAY: Psalms 13 http://bible.sograce.org/#/13/1"
"Day 14: Genesis 43-45",01/14/2016,true,"READ: Genesis 43-45 PRAY: Psalms 14 http://bible.sograce.org/#/14/1"
"Day 15: Genesis 46-47",01/15/2016,true,"READ: Genesis 46-47 PRAY: Psalms 15 http://bible.sograce.org/#/15/1"
"Day 16: Genesis 48-50",01/16/2016,true,"READ: Genesis 48-50 PRAY: Psalms 16 http://bible.sograce.org/#/16/1"
"Day 17: Exodus 1-3",01/17/2016,true,"READ: Exodus 1-3 PRAY: Psalms 17 WATCH: Exodus 1-18 http://bible.sograce.org/#/17/1"
"Day 18: Exodus 4-6",01/18/2016,true,"READ: Exodus 4-6 PRAY: Psalms 18 http://bible.sograce.org/#/18/1"
"Day 19: Exodus 7-9",01/19/2016,true,"READ: Exodus 7-9 PRAY: Psalms 19 http://bible.sograce.org/#/19/1"
"Day 20: Exodus 10-12",01/20/2016,true,"READ: Exodus 10-12 PRAY: Psalms 20 http://bible.sograce.org/#/20/1"
"Day 21: Exodus 13-15",01/21/2016,true,"READ: Exodus 13-15 PRAY: Psalms 21 http://bible.sograce.org/#/21/1"
"Day 22: Exodus 16-18",01/22/2016,true,"READ: Exodus 16-18 PRAY: Psalms 22 http://bible.sograce.org/#/22/1"
"Day 23: Exodus 19-21",01/23/2016,true,"READ: Exodus 19-21 PRAY: Psalms 23 WATCH: Exodus 19-40 http://bible.sograce.org/#/23/1"
"Day 24: Exodus 22-24",01/24/2016,true,"READ: Exodus 22-24 PRAY: Psalms 24 http://bible.sograce.org/#/24/1"
"Day 25: Exodus 25-27",01/25/2016,true,"READ: Exodus 25-27 PRAY: Psalms 25 http://bible.sograce.org/#/25/1"
"Day 26: Exodus 28-29",01/26/2016,true,"READ: Exodus 28-29 PRAY: Psalms 26 http://bible.sograce.org/#/26/1"
"Day 27: Exodus 30-31",01/27/2016,true,"READ: Exodus 30-31 PRAY: Psalms 27 http://bible.sograce.org/#/27/1"
"Day 28: Exodus 32-34",01/28/2016,true,"READ: Exodus 32-34 PRAY: Psalms 28 http://bible.sograce.org/#/28/1"
"Day 29: Exodus 35-40",01/29/2016,true,"READ: Exodus 35-40 PRAY: Psalms 29 http://bible.sograce.org/#/29/1"
"Day 30: Leviticus 1-4",01/30/2016,true,"READ: Leviticus 1-4 PRAY: Psalms 30 WATCH: Leviticus http://bible.sograce.org/#/30/1"
"Day 31: Leviticus 5-7",01/31/2016,true,"READ: Leviticus 5-7 PRAY: Psalms 31 http://bible.sograce.org/#/31/1"
"Day 32: Leviticus 8-10",02/01/2016,true,"READ: Leviticus 8-10 PRAY: Psalms 32 http://bible.sograce.org/#/32/1"
"Day 33: Leviticus 11-13",02/02/2016,true,"READ: Leviticus 11-13 PRAY: Psalms 33 http://bible.sograce.org/#/33/1"
"Day 34: Leviticus 14-15",02/03/2016,true,"READ: Leviticus 14-15 PRAY: Psalms 34 http://bible.sograce.org/#/34/1"
"Day 35: Leviticus 16-18",02/04/2016,true,"READ: Leviticus 16-18 PRAY: Psalms 35 http://bible.sograce.org/#/35/1"
"Day 36: Leviticus 19-20",02/05/2016,true,"READ: Leviticus 19-20 PRAY: Psalms 36 http://bible.sograce.org/#/36/1"
"Day 37: Leviticus 21-23",02/06/2016,true,"READ: Leviticus 21-23 PRAY: Psalms 37 http://bible.sograce.org/#/37/1"
"Day 38: Leviticus 24-25",02/07/2016,true,"READ: Leviticus 24-25 PRAY: Psalms 38 http://bible.sograce.org/#/38/1"
"Day 39: Leviticus 26-27",02/08/2016,true,"READ: Leviticus 26-27 PRAY: Psalms 39 http://bible.sograce.org/#/39/1"
